num;titel;title_no_number;summary;duration;published
592;MBMBaM 590: Keep Your Grades Up;Keep Your Grades Up;<p>Big news, folks, we’ve partnered with Mariah Carey. That’s right, she'll be ​bringing you one segment an episode for the rest of the year! We’ve got bits and goofs that pair perfectly with the hit holiday jam.</p><p>Suggested talking points: Niftys, Boner Lisa, Touch the Eyeball, Dr Crankenstein’s Monster, Pizza Shaq, Cheeseburger Sleeve, Going up to Santa’s House</p><p>Asian Pacific Environmental Network: https://apen4ej.org/ </p><p>Harmony House: https://harmonyhousewv.com/</p>;3705;2021-12-21 17:30:00+00:00
591;MBMBaM 589: Face 2 Face: The World’s Richest Robot is Back;Face 2 Face: The World’s Richest Robot is Back;<p>We’re back, baby! It’s the one and only MBMBaM live show of 2021, from the beautiful Grand Sheraton in Seattle for Emerald City Comic Con. Just enough time to feel the Big Dog Woof Woof energy and never, ever experience it again. </p><p>Suggested talking points: John Cena’s Sink Hole, I’m Gonna Eat this Lamp, Glitch Pancakes, Mr. Tumbus, Buried in the Field, Macro Golf, Gallagher of Perfume</p><p>Asian Pacific Environmental Network: https://apen4ej.org/</p><p>Harmony House: https://harmonyhousewv.com/</p>;4127;2021-12-13 17:00:00+00:00
590;MBMBaM 588: Swamp Cats and Dorfs;Swamp Cats and Dorfs;<p>In this special CYBER MONDAY episode of MBMBaM we’re turning our hands into can openers, tuning the ol’ automatic butt clappers, and giving hot tips about the decks that we use to chip through the ice.</p><p>Suggested Talking Points: In with the Corpos, Puttin' Georgie in the Storm Drain, Digital Love at the Oasis, Algorithmically-Produced Douglass, Big Figs, Justin McElroys’ Lil Fellas, Rick Holes</p><p>Native Women Lead: https://www.nativewomenlead.org/</p><p>First Nations Development Institute: https://www.firstnations.org/</p><p>Harmony House: https://harmonyhousewv.com/</p>;3676;2021-11-29 17:00:00+00:00
589;MBMBaM 587: How Travis Got His Woof Back;How Travis Got His Woof Back;<p>It’s a holiday treat from your favorite brothers, serving up hot side dishes of unexpected rom-coms, unrealistic self-improvement, and understated casseroles. </p><p>Suggested talking points: Notting Thrill, Twince Vaughn, Gooshers, Special Rubber Sweat-Free Clothes, You Loyal! Lemon Pepper, Fifty Shades of Beige </p><p>Native Women Lead: https://www.nativewomenlead.org/ </p><p>First Nations Development Institute: https://www.firstnations.org/ </p><p>Harmony House: https://harmonyhousewv.com/</p>;3927;2021-11-22 17:30:00+00:00
588;MBMBaM 586: How was Hell this Time?;How was Hell this Time?;<p>Introducing . . . My Brother, My Brother, and Me ft. skits, bits, and advice!! We've been inspired by Nathan Lane to bring an even higher level of enthusiasm to our projects, so get ready for the HEAT.</p><p>Suggested talking points: Zack Attack is a Ghost, The Modern Bee Sting, Big Boner Joe, Dog Walker Stalker, Thirsty Zone, Gobbles of Gratitude</p><p>Native Women Lead: https://www.nativewomenlead.org/</p><p>First Nations Development Institute: https://www.firstnations.org/</p><p>Harmony House: https://harmonyhousewv.com/</p>;3356;2021-11-15 17:00:00+00:00
587;MBMBaM 585: One Year Closer to Salsa;One Year Closer to Salsa;<p>Our nemesis is back in the news, but we’re gonna take him down and put him to sleep with a fast-food themed bedtime book. Don’t worry about how a podcast advice show has a nemesis.</p><p>Suggested talking points: Shaq-a-Roni and Cheese, That Ice Cream was My Dad, House of a Million Mummies with Vampire Fangs, You’re Acting Like a Child LOL, Can I Buy Our Pork Zone</p><p>Native Women Lead: https://www.nativewomenlead.org/</p><p>First Nations Development Institute: https://www.firstnations.org/</p><p>Harmony House: https://harmonyhousewv.com/</p>;3598;2021-11-08 17:00:00+00:00
586;MBMBaM 584: Three Hunky Guys Podcast;Three Hunky Guys Podcast;<p>Welcome to MBMBaM: Revelations. Our most embarrassing secrets, revealed - some new, some old. Tough-guy affectations! Questionable fashion choices! Attempted nicknames!</p><p>Suggested talking points: Oops All Justins, Have You Talked to St Paul? He eats Board Wax, Goth or JK Simmons, Jimmy Buffet Blood Transfusion, The Passionate Kissburger</p><p>The Kissburger commercial: https://www.youtube.com/watch?v=auPnjF4V4_k</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3568;2021-11-01 16:00:00+00:00
585;MBMBaM 583: Soccertes;Soccertes;"<p>We thought everyone was agreed that all of October is time for dressing in costume and eating scary donuts that are not actually that scary. But it turns out there are differing opinions about this. Good thing we’ve got Mr. Halloween himself, Joseph Fink to advise us. The King of Horror. The Duke of Doom. The Sultan of Scares.</p><p>Suggested talking points: Mr. Zucker’s Cooltime Internet, Iconic Eric Pervert Mustache, Spike this Ball, The Shared Finkoverse, Mr. Bone Clown Scare Gobblers</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: <a href=""https://blacklivesmatters.carrd.co/"">https://blacklivesmatters.carrd.co/</a></p>";3930;2021-10-25 16:00:00+00:00
;MaxFun Block Party: Movie Advice with Maximum Film;MaxFun Block Party: Movie Advice with Maximum Film;"<p>As part of the celebration of the MaxFun Block Party, we've got a special crossover episode with the folks from Maximum Film discussing the good and EXTREMELY BAD advice from our favorite films.</p><p>Check out Ify Nwadiwe, Drea Clark, and Alonso Duralde on Maximum Film! <a href=""https://maximumfun.org/podcasts/maximum-film/"" target=""_blank"">https://maximumfun.org/podcasts/maximum-film</a></p>";1837;2021-10-19 15:00:00+00:00
584;MBMBaM 582: Bony Butt Stabber in Coastal Maine;Bony Butt Stabber in Coastal Maine;"<p>We’ve finally made it! We got nominated for an award for our amazing ad reads. We always knew this show would be recognized for something, and it’s as a parking space for our sponsors. </p><p>Suggested talking points: The Pie That Did the Mess that Broke my Heart, Bookumentary, Stephen King was Right, Krispy Skreme, Tres-bouncing </p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: <a href=""https://blacklivesmatters.carrd.co/"">https://blacklivesmatters.carrd.co/</a></p>";3901;2021-10-18 16:00:00+00:00
583;MBMBaM 581: Boo-ty Ghoul-iani;Boo-ty Ghoul-iani;<p>Welcome new listeners! This is the description of the show this week. It’s usually a little bit tongue-in-cheek and doesn’t entirely tell you what we’re talking about, but it gives you a good idea of the tone of the episode.</p><p>Suggested talking points (these are sound bites of things we say this episode): Download the snacks, Pyramid of 100 beans, Mosh bandits, Corpse Bride Burger, Your Secret Wood-Mirer</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3922;2021-10-11 16:00:00+00:00
582;MBMBaM 580: Density of Fifty Hard Boiled Eggs;Density of Fifty Hard Boiled Eggs;<p>This is the third episode of MBMBaM we’ve recorded in a single week, and we honestly think it’s the best one. It’s also entirely about eggs.</p><p>Suggested talking points: The Stunt Spectacular, Clippy’s Corpse, Non-Newtonian Chili, The Driest Justin, Sentient Cyber-restaurant, We Have Always Rung the Cheese Bell</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3726;2021-10-04 16:00:00+00:00
581;MBMBaM 579: Twoklahoma;Twoklahoma;<p>If you see the list of talking points and wonder if we’ve talked about some of this stuff before, we’ve been wondering the same thing. And have an answer for you. Yes, almost definitely.</p><p>Suggested talking points: Opposite MBMBaM, Poor Judd’s Alive Again, The iconic pica of my signature, Bread Candle, Fauci Goo, Griffin Andrew Lloyd Webber</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3773;2021-09-27 22:00:00+00:00
580;MBMBaM 578: Greg’s Upstairs High-Performance Tea Kettle;Greg’s Upstairs High-Performance Tea Kettle;<p>We really tried to hunker down and stick to advice, we really did. But Grimace exists? And somewhere out there a pretend crash of rhinos is fighting a pretend conspiracy of lemurs. We’ll try again next time.</p><p>Suggested talking points: Fred Jasso, What is Grimace, Most Jacked People are Secretly Lemurs, Detested Orange Chicken Sandwich, Stacked Onions</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate</p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3704;2021-09-21 11:00:00+00:00
579;MBMBaM 577: Canonically Assassinated;Canonically Assassinated;<p>Ooh, we’re gonna get Travis with a good old-fashioned prank. We’re gonna hide in his closet and do a jumpscare on him. Or maybe catfish him with a fake love letter. Or maybe tell him he owes years of back taxes to the IRS.</p><p>Suggesting Talking Points: The Four Morpheuses, Do not Google Jizzard, Dr. IRS, Master of Master of Disguise, Thank You For Riding Büs</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3691;2021-09-13 16:00:00+00:00
578;MBMBaM 576: Several Iguanadons;Several Iguanadons;<p>It turns out that Travis has a weird secret superpower that works perfectly for helping people and pleases the Wizard. Now if we can just figure out how to monetize it. </p><p>Suggested talking points: I Miss Breathing on People, Congratulations on Your Attitude, The Time Well, Slambourgini, I’m a Ketchup Eater</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3603;2021-09-06 16:00:00+00:00
577;MBMBaM 575: Fluffy Like a Sandwich, Folded Like a Taco;Fluffy Like a Sandwich, Folded Like a Taco;<p>Well. This is it. The peak of Justin’s career. Nothing will be able to top this, but I guess we’ll try anyway.</p><p>Suggested Talking Points: Michelangelo Dirty Limerick Boy, The Dirtiest Thirty, Have I met a Serial Killer?, Die With Honor to the Ostrich , Let’s Give Them Pumpkin to Talk About</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3779;2021-08-30 16:00:00+00:00
576;MBMBaM 574: My Burger My Burger and Me;My Burger My Burger and Me;<p>Hey, Guy Fieri, we have a food business idea. We can’t tell you the exact details right now, but trust us it’s amazing. It involves memes. All you have to do is sign this exclusive contract. </p><p>Suggested talking points: The Spice is Nice, Bathtub Speedboat, There’s Lots of Stuff You Can Eat, Omni-directional hoof action, Brown Town</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3738;2021-08-23 16:00:00+00:00
575;MBMBaM 573: Bro's Better, Bro's Best: Ch. 200 - 216;Bro's Better, Bro's Best: Ch. 200 - 216;<p>We weren’t able to record this week for a variety of reasons, and so we invite you to once again hop on the Time Boat to re-visit a few classic goofs and bits. Before you ask, yes, the answer to more than one question featured here is “have you tried faking a ghost about it”?</p><p>Suggested talking points: The Character Arc of DJ Jazzy Jeff, All-purpose Goof Rom, Where's Your Power?, Travis's Special Underwear, Omnipotent Ice Cream Truck Drivers, Munchables, The Legality of Forest Mazes</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate</p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3179;2021-08-16 16:00:00+00:00
574;MBMBaM 572: Sky Captain and the World of Giamatti;Sky Captain and the World of Giamatti;<p>We've always wanted to run one of the themed rides in Magic Kingdom. It turns out we can! Right now! Sit back, relax, and we’ll take you on a Jungle Cruise of the Mind. </p><p>Suggested talking points: Nude glued and totally rude, Business Objects, All I wanted was to kill Lincoln on my birthday, Pacino and Bambino, Gentleman Chicken Saboteurs</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3579;2021-08-09 16:00:00+00:00
573;MBMBaM 571: The Gru of Popsicles;The Gru of Popsicles;<p>It’s spooky season, and by that we mean it’s scarily hot outside. That’s why it’s so important that you pretend to have snow powers, so everyone thinks you’re cool. Warning: Don’t make it obvious that you’re faking.</p><p>Suggested talking points: Dirtbag Mac and Cheese,  Dark Ice Patron, One million nugs, Mug Mafiosos</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3530;2021-08-02 16:30:00+00:00
572;MBMBaM 570: Cryptoast of the Town;Cryptoast of the Town;"<p>Hang in tight, everyone, the new Space Jam is WILD. So wild we had to abandon this show and make a new one. This is now the Podcast Chat Show, A Show Hosted By Three Brothers.</p><p>Suggested talking points: What’s Down, Doc?, Ask the Dog, the Dog Knows, Dink Doink 2, 1000 Oyster Crackers, No More Fun Please</p><p>Support AAPI communities and those affected by anti-Asian violence: <a href=""https://www.gofundme.com/c/act/stop-aapi-hate"" target=""_blank"">https://www.gofundme.com/c/act/stop-aapi-hate</a></p><p>For resources on anti-racism and fighting police violence: <a href=""https://blacklivesmatters.carrd.co/"" target=""_blank"">https://blacklivesmatters.carrd.co/</a></p>";3567;2021-07-26 16:00:00+00:00
571;MBMBaM 569: Planet of Valjeans;Planet of Valjeans;<p>Yet why did we allow these boys <br />To touch our souls and teach us love <br />This episode’s like any other <br />It’s full of advice, from funny brothers<br />Your life will never be the same <br />Just wait and see<br />Hear from the wizard of the cloud <br />On My Brother, My Brother, and Me</p><p>Take a trip into space<br />With a whole melon slice<br />And then celebrate shark week<br />With a flavored shaved ice </p><p>Suggesting talking points: Spaze Bois, Who am I? I’m Derrick’s Dad, Christopher Walking, Blood, Coconut, and Shark Gummy, They came for our meats, Avocado Opportunities</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3807;2021-07-19 16:30:00+00:00
570;MBMBaM 568: Will A Sign Help?;Will A Sign Help?;<p>After over a decade of research, we’ve discovered a revolutionary new way to help answer all your questions. It’s with another question. The world will never be the same.</p><p>Suggested talking points: Skinnovation, Mr. Chiskers , Vet the vet vet’s Vette, Who Will Buy My Nickel and Dime, Smell this sandwich, Fry disasters</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate</p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3453;2021-07-12 16:30:00+00:00
569;MBMBaM 567: Triumvirate of Butt Problems;Triumvirate of Butt Problems;<p>Step into our office / pop tent / podcast Battlearium for some authentic skate tricks and a taste of that good thick orange drink. Just remember to keep everything sustainable by listening at 1.0x so the podcast can break down naturally in the compost pile.</p><p>Suggested talking points: Be My Sherpa Sting, Phony Hawk, Vegecurious, Big TASTE, little nutrition</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3618;2021-07-06 19:00:00+00:00
568;MBMBaM 566: This is My Juice Spot;This is My Juice Spot;<p>We’ve got a brand new motto for everyone and anyone out there who needs it. Ready? ACT STRONG. You don’t even have to BE strong, just ACT it. Get some inflatable dumbbells to carry around. Drink those spicy shots.</p><p>Suggested talking points: F’nine watch, God can’t hear you unless you yell, Friendship Wake, Mr. Slice, Ruin My Box</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3520;2021-06-29 14:00:00+00:00
567;MBMBaM 565: No Information Forthcoming;No Information Forthcoming;<p>We’re bringing that energy! That rhythm! So get that shampoo out of your eyes, queue up the Temperate Rainforest Horseback playlist, and throw out all your fragrances to prepare yourself.</p><p>Suggested talking points: Loki stole my apple slices, Chonky Accessories, Try to Cry, Green Smell, Birdbath Eyes, Welcome to my Auction</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate</p><p> For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3331;2021-06-21 16:00:00+00:00
566;MBMBaM 564: HANCH;HANCH;<p>It’s about to get real loud in here. Loud with FLAVOR. We’re talking sweet, salty, fat, acid, paprika, cheez-its, tarchup, and wasabioli. </p><p>Suggested talking points: Holistic Hog Time, Reverse Johnny Appleseed, Who Washes the Dishwasher?, Sticky Dylan, Heinz Canada is Watching , There’s Cheez-Its Somewhere </p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3536;2021-06-14 17:00:00+00:00
565;MBMBaM 563: A Streetcar Named Deez Nuts;A Streetcar Named Deez Nuts;<p>Summer’s here! It’s time to bust out the new splashes and signature scents. Don’t have a signature scent? Not to worry, we’ve got you covered with this lil’ baby. It has a base fragrance of chicken sandwiches with top notes of zinc oxide and kolaches.</p><p>Suggesting talking points: Beach Horse, You are the Splash, Kolache Church, High Coyote Activity, Richard Stink</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3565;2021-06-07 17:00:00+00:00
564;MBMBaM 562: It Helps to Have a Cube;It Helps to Have a Cube;<p>Stop everything, we’ve found this year’s one true summer anthem, from one Charles Entertainment Cheese. It bops. It slaps. It rips. It trips. It has us questioning our very existence.</p><p><br />Suggested talking points: Catch Old, Wisdom of the Crowd, Ruminating about Revenants, Munch Squad Trap Edition, Chex Mix Circle</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p>;3403;2021-06-01 16:00:00+00:00
563;MBMBaM 561: Bless My Farts;Bless My Farts;<p>We all knew it was coming. Criss Angel, tired of escaping from boxes and chains, has broken free of the confines of Munch Squad with his new Nevada restaurant. One hundred years of crafting couldn't have come up with a better name. So, that’s it. We’ve got to concede naming restaurants for the foreseeable future.</p><p>Suggested talking points: Ja New Answers, Dr Harold Styley, Gently Used Wings, Tummy Freak, Where’s the Weck</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>Support the AAPI Civic Engagement Fund: https://aapifund.org/</p>;3385;2021-05-24 16:30:00+00:00
562;MBMBaM 560: Starter in the Jarter;Starter in the Jarter;<p>We’re gonna hit you with the shrink ray, put you in our pocket, and take you on a journey with us. It’s not going to be a very exciting journey, since you’ll be in a pocket and everything. And we’re not sure where we’re going exactly. But it’s a journey.</p><p>Suggested talking points: ROI On Oranges, My name is Dr Cheese, Pep’eps Place Conspiracy, <br />Tell Me All Your Fruit Thoughts, Yahoo That’s not a Yahoo, Parakeet Parrot Pete</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>Support the AAPI Civic Engagement Fund: https://aapifund.org/</p>;3516;2021-05-17 16:00:00+00:00
561;MBMBaM 559: The Moon Sent Me;The Moon Sent Me;<p>Nosy neighbors be damned, we’re about to fire up the grill and make some delicious gipino. Gapino? Cioppino. Shrimp.</p><p>Suggested talking points: Bone Fleas, Riddle Prison, Joey Bloobs, Rugged Spicy Boys, the Peters Parker, a case of Pepsi Lungs, What Do Babies Care About?</p><p>Consider becoming a supporter of our show: www.maximumfun.org/join/ </p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/<br /> </p>;3367;2021-05-10 17:00:00+00:00
560;MBMBaM 558: The Star of the Sandwich Show;The Star of the Sandwich Show;"<p>You know we’ve gotten into the big league when we get questions from Huntington’s own legend Tim Irr, who has famously been gifted so many handkerchiefs he’s running out of places to keep them.</p><p>Suggested talking points: Big Fruit, Billy Murray money, BLT Lobbyists, Gut Chunnel, Crank Green</p><p>Consider becoming a supporter of our show: www.maximumfun.org/join/</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate</p><p>For resources on anti-racism and fighting police violence: https://blacklivesmatters.carrd.co/</p><p>SFX in this episode: ""Music Elevator"" by Jay_You: https://soundcloud.com/stonefree</p>";3894;2021-05-03 17:00:00+00:00
559;MBMBaM 557: Morgan Beeman Strikes Again;Morgan Beeman Strikes Again;"<p>We thought it was high time to invite someone who’s actually smart to help us give advice; luckily Jean Grae agreed to be the newest McElroy brother. Jean is so smart that she had the foresight in high school to realize that the SATs are an outdated measurement built on a societal structure that values expedience, instead of like, a test that lets you drink wine and cry.</p><p>Suggested talking points: Poison Factory<strong>, </strong>Complimentary Tony, Racist Vestibule, Anti-Hero Noid, Just Go With It, Life Hack Requests</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>Support the AAPI Civic Engagement Fund: https://aapifund.org/</p>";3720;2021-04-27 15:00:00+00:00
558;MBMBaM 420: Funeral For a Friend;Funeral For a Friend;<p>We always thought that episode 420 would be about the funny weed number. Instead, we're using it to mark 4/20, the date we say goodbye to Yahoo! Answers, a bad website that we will miss very much.</p><p>Support AAPI communities and those affected by anti-Asian violence: https://www.gofundme.com/c/act/stop-aapi-hate </p><p>Support the AAPI Civic Engagement Fund: https://aapifund.org/</p>;2164;2021-04-20 22:00:00+00:00
557;MBMBaM 556: New Virtual Wing Concept;New Virtual Wing Concept;<p>Introducing the new sweet baby brother, Ron Funches! With this huge upgrade in talent we can finally tackle the BIG subjects like Chopped 420, mysterious chewy candy, celebrity hot dog eating competitions, and cat food for people.</p><p>Suggested talking points: Trail Mix Jug, Hat Floozy, Ten-One, Anti-Kyle, Cat Clooney, 12 Cats But One Person</p><p>Support AAPI communities and those affected by anti-Asian violence:</p><p> https://www.gofundme.com/c/act/stop-aapi-hate Support the AAPI Civic Engagement Fund: https://aapifund.org/</p>;3784;2021-04-19 16:00:00+00:00
